,old_name,plant_species,plant_family,flower_symmetry,lifespan,life_form,ps_pathway,flower_shape,breeding_system,bloom_period,bloom_period_simple,nectar,odour,color,flower_width_midpoint_mm,flower_length_midpoint_mm,style_length_midpoint_mm,plant_height_midpoint_m
61,Echinopsis terscheckii,Leucostele terscheckii,Cactaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,dusk,night,present,absent,white,163.8,177.7,153.9,15
62,Lilium auratum,Lilium auratum,Liliaceae,actinomorphic,perennial,herb,C3,open,hermaphrodite,day,day,present,present,white,140,110,120,2.5
63,Lilium formosanum,Lilium formosanum,Liliaceae,actinomorphic,perennial,herb,C3,open,hermaphrodite,NA,NA,present,present,white,110,130,140.5,1.4
64,Lonicera etrusca,Lonicera etrusca,Caprifoliaceae,zygomorphic,perennial,vine,C3,tube,hermaphrodite,dusk,night,present,present,white,2.5,32.9,42.7,4
65,Marginatocereus marginatus,Lophocereus marginatus,Cactaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,night,night,present,present,red,15.7,34.7,22.88,8.5
66,Lophocereus schottii,Lophocereus schottii,Cactaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,dusk,night,absent,present,pink,6.1,30,50,3
67,Luculia pinceana,Luculia pinceana,Rubiaceae,actinomorphic,perennial,shrub,C3,tube,hermaphrodite,NA,NA,present,present,pink,30,27.5,33,6
68,Luehea seemannii,Luehea seemannii,Malvaceae,actinomorphic,perennial,tree,C3,open,monoecious,night,night,present,present,white,15,7.5,10,22.5
69,Luffa acutangula,Luffa acutangula,Cucurbitaceae,actinomorphic,short-lived,herb,C3,tube,monoecious,dusk,night,present,present,yellow,52.2,11,3.5,6
70,Lyonia lucida,Lyonia lucida,Ericaceae,actinomorphic,perennial,shrub,C3,campanulate,hermaphrodite,NA,NA,present,present,pink,3.5,7,6,3.75
71,Mabea fistulifera,Mabea fistulifera,Euphorbiaceae,actinomorphic,perennial,tree,C3,open,monoecious,night,night,present,present,red,13,26.6,26.6,6.5
72,Macleania bullata,Macleania bullata,Ericaceae,actinomorphic,perennial,shrub,C3,tube,hermaphrodite,NA,NA,present,absent,orange,5,42,43.8,3
73,Malus domestica,Malus domestica,Rosaceae,actinomorphic,perennial,tree,C3,open,hermaphrodite,NA,NA,present,present,white,35,15,12.5,3.5
74,Mitrastemon yamamotoi,Mitrastemon yamamotoi,Mitrastemonaceae,actinomorphic,perennial,herb,NA,open,hermaphrodite,NA,NA,present,present,white,20,15,25,0.025
75,Ipomoea aff. Marcellia,Ipomoea aff-marcellia,Convolvulaceae,actinomorphic,perennial,vine,C3,tube,hermaphrodite,dusk,night,present,present,white,18.42,22.73,42.33,1.75
76,Narcissus papyraceus,Narcissus papyraceus,Amaryllidaceae,actinomorphic,perennial,herb,C3,tube,hermaphrodite,NA,NA,present,present,white,30,14.5,16,0.375
77,Nicotiana attenuata,Nicotiana attenuata,Solanaceae,actinomorphic,short-lived,herb,C3,tube,hermaphrodite,night,night,present,present,white,12.5,35,30,1.25
